timestamp,group,prediction,confidence
1774346394.6441941,Senior-Male,Surprise,0.40571395
1774346429.883153,Senior-Female,Sad,0.45624414
1774346455.785505,Adult-Female,Sad,0.49907374
1774346460.7488,Adult-Male,Sad,0.49907374
1774346461.736939,Young-Male,Sad,0.49907374
1774346462.428093,Young-Male,Sad,0.49907374
1774346463.065543,Senior-Male,Sad,0.49907374
1774346463.706608,Senior-Male,Sad,0.49907374
1774346464.183424,Senior-Female,Sad,0.49907374
1774346464.7744892,Adult-Female,Sad,0.49907374
1774346465.2012749,Senior-Male,Sad,0.49907374
1774346465.838486,Young-Female,Sad,0.49907374
1774346466.527165,Young-Male,Sad,0.49907374
1774351584.2697978,Adult-Female,Sad,0.49383625388145447,Unknown / unlabeled,True,webcam
1774351594.783954,Adult-Male,Sad,0.49383625388145447,Unknown / unlabeled,True,webcam
1774351596.030787,Young-Male,Sad,0.49383625388145447,Unknown / unlabeled,True,webcam
1774351597.2137752,Senior-Female,Sad,0.49383625388145447,Unknown / unlabeled,True,webcam
1774351619.348871,Adult-Female,Surprise,0.43687704205513,Unknown / unlabeled,True,webcam
1774351709.4660811,Senior-Female,Sad,0.41657793521881104,Happy,True,webcam
1774351714.4753,Senior-Male,Sad,0.41657793521881104,Surprise,True,webcam
1774351720.05325,Adult-Male,Sad,0.41657793521881104,Angry,True,webcam
1774351725.2894368,Senior-Female,Sad,0.41657793521881104,Neutral,True,webcam
